id,fecha_informe,fecha_inicio_campo,fecha_fin_campo,presidente,encuestadora,producto,aprueba_pct,desaprueba_pct,nr_pct,n_muestra,aprueba_gob_pct,desaprueba_gob_pct,nr_gob_pct,neto_gob,modalidad,n_informe,excluir,url_fuente
22,01-06-2018,01-06-2018,01-06-2018,Sebastián Piñera,Cadem,Plaza Pública,57.0,26.0,17.0,714,,,,,online,229,0,https://insight-chile.cl/storage/2018/06/Tack-PP-229-Jun-S1-VF.pdf
23,07-06-2018,06-06-2018,07-06-2018,Sebastián Piñera,Cadem,Plaza Pública,58.0,26.0,16.0,700,,,,,online,230,0,https://insight-chile.cl/storage/2018/06/Tack-PP-230-Jun-S2-VF.pdf
24,14-06-2018,13-06-2018,14-06-2018,Sebastián Piñera,Cadem,Plaza Pública,60.0,24.0,16.0,707,,,,,online,231,0,https://insight-chile.cl/storage/2018/06/Track-PP-231-S3-VF-002.pdf
25,16-06-2018,,16-06-2018,Sebastián Piñera,GfK Adimark,GfK Adimark,52.0,40.0,8.0,,,,,,presencial,Citado en La Nación (16-06-2018),0,https://web.archive.org/web/20180706183014/http://lanacion.cl/2018/07/06/adimark-aprobacion-a-gobierno-de-pinera-subio-al-52-en-junio/
26,21-06-2018,20-06-2018,21-06-2018,Sebastián Piñera,Cadem,Plaza Pública,58.0,28.0,14.0,709,,,,,online,232,0,https://insight-chile.cl/storage/2018/06/Track-PP-232-Jun-Sem-4-vf.pdf
27,21-06-2018,,21-06-2018,Sebastián Piñera,Criteria,Agenda Criteria,60.0,29.0,11.0,,,,,,online,,1,
28,27-06-2018,06-06-2018,27-06-2018,Sebastián Piñera,GfK Adimark,GfK Adimark,52,40,5,1100,,,,,online,Junio 2018,0,https://cdn2.hubspot.net/hubfs/2405078/cms-pdfs/fileadmin/user_upload/country_one_pager/cl/gfk_gobierno_jun_18.pdf
29,28-06-2018,27-06-2018,28-06-2018,Sebastián Piñera,Cadem,Plaza Pública,57.0,31.0,12.0,711,,,,,online,233,0,https://insight-chile.cl/storage/2018/07/Track-PP233-Jun-S5-VF.pdf
30,28-06-2018,15-06-2018,28-06-2018,Sebastián Piñera,Criteria,Agenda Criteria,60,29,11,927,,,,,online,Junio 2018,0,https://web.archive.org/web/20211105163819/https://www.criteria.cl/wp-content/uploads/2019/05/Agenda-Junio2018.pdf
31,05-07-2018,04-07-2018,05-07-2018,Sebastián Piñera,Cadem,Plaza Pública,55.0,30.0,15.0,710,,,,,online,234,0,https://insight-chile.cl/storage/2018/07/Track-PP-Jul-S1-N234.pdf
